TimeStamp,Time,Sdur,Sdur_accum_der,Sb
UTC,hhmm,sec,h,W/m^2
20140919,1900,0,3.4,9999.9
20140919,2000,0,3.4,9999.9
20140919,2100,0,3.4,9999.9
20140919,2200,0,3.4,9999.9
20140919,2300,0,3.4,9999.9
20140919,2400,0,3.4,9999.9
20140920,0100,0,0.0,9999.9
20140920,0200,0,0.0,9999.9
20140920,0300,0,0.0,9999.9
20140920,0400,0,0.0,9999.9
20140920,0500,0,0.0,9999.9
20140920,0600,0,0.0,9999.9
20140920,0700,0,0.0,9999.9
20140920,0800,0,0.0,9999.9
20140920,0900,0,0.0,9999.9
20140920,1000,0,0.0,9999.9
20140920,1100,0,0.0,9999.9
20140920,1200,45,0.0,9999.9
20140920,1300,0,0.0,9999.9
20140920,1400,0,0.0,9999.9
20140920,1500,0,0.0,9999.9
20140920,1600,0,0.0,9999.9
20140920,1700,0,0.0,9999.9
20140920,1800,0,0.0,9999.9
20140920,1900,0,0.0,9999.9
20140920,2000,0,0.0,9999.9
20140920,2100,0,0.0,9999.9
20140920,2200,0,0.0,9999.9
20140920,2300,0,0.0,9999.9
20140920,2400,0,0.0,9999.9
20140921,0100,0,0.0,9999.9
20140921,0200,0,0.0,9999.9
20140921,0300,0,0.0,9999.9
20140921,0400,0,0.0,9999.9
20140921,0500,0,0.0,9999.9
20140921,0600,0,0.0,9999.9
20140921,0700,1557,0.4,9999.9
20140921,0800,3425,1.4,9999.9
20140921,0900,3600,2.4,9999.9
20140921,1000,3600,3.4,9999.9
20140921,1100,3515,4.4,9999.9
20140921,1200,2211,5.0,9999.9
20140921,1300,2114,5.6,9999.9
20140921,1400,1246,5.9,9999.9
20140921,1500,1386,6.3,9999.9
20140921,1600,818,6.5,9999.9
20140921,1700,695,6.7,9999.9
20140921,1800,0,6.7,9999.9
20140921,1900,0,6.7,9999.9
20140921,2000,0,6.7,9999.9
20140921,2100,0,6.7,9999.9
20140921,2200,0,6.7,9999.9
20140921,2300,0,6.7,9999.9
20140921,2400,0,6.7,9999.9
20140922,0100,0,0.0,9999.9
20140922,0200,0,0.0,9999.9
20140922,0300,0,0.0,9999.9
20140922,0400,0,0.0,9999.9
20140922,0500,0,0.0,9999.9
20140922,0600,0,0.0,9999.9
20140922,0700,1245,0.3,9999.9
20140922,0800,3279,1.3,9999.9
20140922,0900,3600,2.3,9999.9
20140922,1000,3600,3.3,9999.9
20140922,1100,3600,4.3,9999.9
20140922,1200,3587,5.3,9999.9
20140922,1300,3600,6.3,9999.9
20140922,1400,3600,7.3,9999.9
20140922,1500,3600,8.3,9999.9
20140922,1600,3600,9.3,9999.9
20140922,1700,3600,10.3,9999.9
20140922,1800,2130,10.8,9999.9
20140922,1900,0,10.8,9999.9
20140922,2000,0,10.8,9999.9
20140922,2100,0,10.8,9999.9
20140922,2200,0,10.8,9999.9
20140922,2300,0,10.8,9999.9
20140922,2400,0,10.8,9999.9
20140923,0100,0,0.0,9999.9
20140923,0200,0,0.0,9999.9
20140923,0300,0,0.0,9999.9
20140923,0400,0,0.0,9999.9
20140923,0500,0,0.0,9999.9
20140923,0600,0,0.0,9999.9
20140923,0700,964,0.3,9999.9
20140923,0800,514,0.4,9999.9
20140923,0900,2899,1.2,9999.9
20140923,1000,3593,2.2,9999.9
20140923,1100,3600,3.2,9999.9
20140923,1200,3450,4.2,9999.9
20140923,1300,1868,4.7,9999.9
20140923,1400,3533,5.7,9999.9
20140923,1500,3600,6.7,9999.9
20140923,1600,2683,7.4,9999.9
20140923,1700,1101,7.7,9999.9
20140923,1800,0,7.7,9999.9
20140923,1900,0,7.7,9999.9
20140923,2000,0,7.7,9999.9
20140923,2100,0,7.7,9999.9
20140923,2200,0,7.7,9999.9
20140923,2300,0,7.7,9999.9
20140923,2400,0,7.7,9999.9
20140924,0100,0,0.0,9999.9
20140924,0200,0,0.0,9999.9
20140924,0300,0,0.0,9999.9
20140924,0400,0,0.0,9999.9
20140924,0500,0,0.0,9999.9
20140924,0600,0,0.0,9999.9
20140924,0700,227,0.1,9999.9
20140924,0800,416,0.2,9999.9
20140924,0900,0,0.2,9999.9
20140924,1000,1247,0.5,9999.9
20140924,1100,1865,1.0,9999.9
20140924,1200,2519,1.7,9999.9
20140924,1300,3121,2.6,9999.9
20140924,1400,2522,3.3,9999.9
20140924,1500,3325,4.2,9999.9
20140924,1600,3587,5.2,9999.9
20140924,1700,3600,6.2,9999.9
20140924,1800,1338,6.6,9999.9
20140924,1900,0,6.6,9999.9
20140924,2000,0,6.6,9999.9
20140924,2100,0,6.6,9999.9
20140924,2200,0,6.6,9999.9
20140924,2300,0,6.6,9999.9
20140924,2400,0,6.6,9999.9
20140925,0100,0,0.0,9999.9
20140925,0200,0,0.0,9999.9
20140925,0300,0,0.0,9999.9
20140925,0400,0,0.0,9999.9
20140925,0500,0,0.0,9999.9
20140925,0600,0,0.0,9999.9
20140925,0700,1926,0.5,9999.9
20140925,0800,3600,1.5,9999.9
20140925,0900,1550,2.0,9999.9
20140925,1000,3600,3.0,9999.9
20140925,1100,3006,3.8,9999.9
20140925,1200,0,3.8,9999.9
20140925,1300,0,3.8,9999.9
